[PretrainFT] Iteration 1 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5000
[PretrainFT] Iteration 1 → Test metrics: {'auc': 0.5, 'p0': 0.0, 'r0': 0.0, 'f0': 0.0, 'p1': 0.16, 'r1': 1.0, 'f1': 0.2758620689655173, 'bce_loss': 84.0}
[PretrainFT] Iteration 2 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5739
[PretrainFT] Iteration 2 → Test metrics: {'auc': 0.5, 'p0': 0.0, 'r0': 0.0, 'f0': 0.0, 'p1': 0.16, 'r1': 1.0, 'f1': 0.2758620689655173, 'bce_loss': 84.0}
[PretrainFT] Iteration 3 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5311
[PretrainFT] Iteration 3 → Test metrics: {'auc': 0.5, 'p0': 0.0, 'r0': 0.0, 'f0': 0.0, 'p1': 0.064, 'r1': 1.0, 'f1': 0.12030075187969924, 'bce_loss': 93.5999984741211}
[PretrainFT] Iteration 4 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5000
[PretrainFT] Iteration 4 → Test metrics: {'auc': 0.49537037037037035, 'p0': 0.864, 'r0': 1.0, 'f0': 0.9270386266094421, 'p1': 0.0, 'r1': 0.0, 'f1': 0.0, 'bce_loss': 0.6876158714294434}
[PretrainFT] Iteration 5 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5000
[PretrainFT] Iteration 5 → Test metrics: {'auc': 0.5, 'p0': 0.888, 'r0': 1.0, 'f0': 0.940677966101695, 'p1': 0.0, 'r1': 0.0, 'f1': 0.0, 'bce_loss': 11.199999809265137}
[PretrainFT] Iteration 6 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5462
[PretrainFT] Iteration 6 → Test metrics: {'auc': 0.5, 'p0': 0.0, 'r0': 0.0, 'f0': 0.0, 'p1': 0.168, 'r1': 1.0, 'f1': 0.28767123287671237, 'bce_loss': 83.19999694824219}
[PretrainFT] Iteration 7 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5000
[PretrainFT] Iteration 7 → Test metrics: {'auc': 0.5, 'p0': 0.0, 'r0': 0.0, 'f0': 0.0, 'p1': 0.152, 'r1': 1.0, 'f1': 0.2638888888888889, 'bce_loss': 84.80000305175781}
[PretrainFT] Iteration 8 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5000
[PretrainFT] Iteration 8 → Test metrics: {'auc': 0.5045871559633027, 'p0': 1.0, 'r0': 0.009174311926605505, 'f0': 0.018181818181818184, 'p1': 0.12903225806451613, 'r1': 1.0, 'f1': 0.2285714285714286, 'bce_loss': 0.6988175511360168}
[PretrainFT] Iteration 9 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.5395
[PretrainFT] Iteration 9 → Test metrics: {'auc': 0.5, 'p0': 0.0, 'r0': 0.0, 'f0': 0.0, 'p1': 0.176, 'r1': 1.0, 'f1': 0.29931972789115646, 'bce_loss': 82.4000015258789}
[PretrainFT] Iteration 10 → Best CV params: {'lr_pre': 0.1, 'lr_fine': 0.1, 'num_layers': 3, 'hidden_dim': 64, 'lambda_aux': 0.01, 'pre_epochs': 100, 'fine_epochs': 100}, Avg CV AUC: 0.4942
[PretrainFT] Iteration 10 → Test metrics: {'auc': 0.8211996336996337, 'p0': 0.958904109589041, 'r0': 0.6730769230769231, 'f0': 0.7909604519774011, 'p1': 0.34615384615384615, 'r1': 0.8571428571428571, 'f1': 0.4931506849315069, 'bce_loss': 1.4223524332046509}
